dataset,model,precision,n_samples,accuracy_%,pass@k_%,acc_delta_vs_16bit_%,pass@k_delta_vs_16bit_%,confidence_%,n_questions
cqa,Qwen/Qwen3.5-0.8B,4bit,8,56.67,86.65,-2.13,1.8,67.85,1221
cqa,Qwen/Qwen3.5-0.8B,8bit,8,57.74,86.49,-1.06,1.64,71.3,1221
cqa,Qwen/Qwen3.5-0.8B,16bit,8,58.8,84.85,0.0,0.0,74.14,1221
cqa,Qwen/Qwen3.5-0.8B,4bit,16,57.25,91.24,-2.54,1.15,66.38,1221
cqa,Qwen/Qwen3.5-0.8B,8bit,16,60.03,93.04,0.25,2.95,69.16,1221
cqa,Qwen/Qwen3.5-0.8B,16bit,16,59.79,90.09,0.0,0.0,71.93,1221
cqa,meta-llama/Llama-3.2-1B-Instruct,4bit,8,60.44,83.37,,,76.17,1221
cqa,meta-llama/Llama-3.2-1B-Instruct,8bit,8,59.13,85.26,,,76.11,1221
cqa,meta-llama/Llama-3.2-3B-Instruct,8bit,8,71.99,88.29,,,85.13,1221
gsm8k,Qwen/Qwen3.5-0.8B,4bit,8,55.12,73.77,-9.93,-7.43,51.03,1319
gsm8k,Qwen/Qwen3.5-0.8B,8bit,8,63.68,83.02,-1.36,1.82,56.36,1319
gsm8k,Qwen/Qwen3.5-0.8B,16bit,8,65.05,81.2,0.0,0.0,58.34,1319
gsm8k,Qwen/Qwen3.5-0.8B,4bit,16,57.77,82.79,-8.72,-5.23,48.74,1319
gsm8k,Qwen/Qwen3.5-0.8B,16bit,16,66.49,88.02,0.0,0.0,56.34,1319
gsm8k,meta-llama/Llama-3.2-1B-Instruct,4bit,8,45.26,69.6,,,47.06,1319
gsm8k,meta-llama/Llama-3.2-1B-Instruct,8bit,8,45.64,67.93,,,49.46,1319
gsm8k,meta-llama/Llama-3.2-3B-Instruct,8bit,8,80.74,92.72,0.3,1.14,77.63,1319
gsm8k,meta-llama/Llama-3.2-3B-Instruct,16bit,8,80.45,91.58,0.0,0.0,79.02,808
