model,precision,n_samples,Accuracy_%,Pass@K_%,Acc_Delta_vs_16bit_%,Pass@K_Delta_vs_16bit_%,Confidence_%,Diversity,N_Questions,Reliability_Failure_Rate,Reliability_Cutoff_Rate,Perf_Tokens_Per_Sec,Perf_Avg_Latency_Sec,Perf_Total_Time,Perf_Total_Time_Sec
Qwen/Qwen3.5-0.8B,4bit,8,56.67,86.65,-2.13,1.8,67.85,2.6478,1221,0.0013,0.0004,218.63,4.63,1h 34m 8s,5647.63
Qwen/Qwen3.5-0.8B,8bit,8,57.74,86.49,-1.06,1.64,71.3,2.4357,1221,0.0002,0.0023,275.6,7.66,2h 35m 51s,9350.89
Qwen/Qwen3.5-0.8B,16bit,8,58.8,84.85,0.0,0.0,74.14,2.2875,1221,0.0001,0.0008,227.53,4.87,1h 39m 5s,5945.27
Qwen/Qwen3.5-0.8B,4bit,16,57.25,91.24,-2.54,1.15,66.38,3.1925,1221,0.0008,0.0004,1884.99,1.39,28m 22s,1702.48
Qwen/Qwen3.5-0.8B,8bit,16,60.03,93.04,0.25,2.95,69.16,2.959,1221,0.0002,0.0028,219.36,14.72,4h 59m 33s,17973.43
Qwen/Qwen3.5-0.8B,16bit,16,59.79,90.09,0.0,0.0,71.93,2.7338,1221,0.0002,0.0007,236.24,7.84,2h 39m 36s,9576.43
meta-llama/Llama-3.2-1B-Instruct,4bit,8,60.44,83.37,,,76.17,2.1564,1221,0.0061,0.0,185.09,4.53,1h 32m 13s,5532.75
meta-llama/Llama-3.2-1B-Instruct,8bit,8,59.13,85.26,,,76.11,2.1581,1221,0.0064,0.0,450.04,1.57,31m 54s,1913.96
meta-llama/Llama-3.2-1B-Instruct,4bit,16,61.67,89.93,0.16,-1.06,74.79,2.5815,1221,0.0081,0.0,212.7,9.07,3h 4m 30s,11069.73
meta-llama/Llama-3.2-1B-Instruct,16bit,16,61.51,90.99,0.0,0.0,75.69,2.5299,1221,0.005,0.0,1195.12,1.3,26m 31s,1590.72
meta-llama/Llama-3.2-3B-Instruct,4bit,8,73.05,89.11,,,83.48,1.7617,1221,0.0028,0.0,476.95,2.36,48m 4s,2884.12
