model,precision,n_samples,Accuracy_%,Pass@K_%,Acc_Delta_vs_16bit_%,Pass@K_Delta_vs_16bit_%,Confidence_%,Diversity,N_Questions,Reliability_Failure_Rate,Reliability_Cutoff_Rate,Perf_Tokens_Per_Sec,Perf_Avg_Latency_Sec,Perf_Total_Time,Perf_Total_Time_Sec
Qwen/Qwen3.5-0.8B,4bit,8,55.12,73.77,-9.93,-7.43,51.03,4.5019,1319,0.0,0.1715,262.23,15.63,5h 43m 31s,20611.37
Qwen/Qwen3.5-0.8B,8bit,8,63.68,83.02,-1.36,1.82,56.36,4.0895,1319,0.0,0.1499,273.51,15.02,5h 30m 8s,19807.71
Qwen/Qwen3.5-0.8B,16bit,8,65.05,81.2,0.0,0.0,58.34,3.9424,1319,0.0,0.1606,252.35,16.24,5h 56m 55s,21414.79
Qwen/Qwen3.5-0.8B,4bit,16,57.77,82.79,-8.72,-5.23,48.74,7.257,1319,0.0,0.1712,980.37,12.39,4h 32m 25s,16345.42
Qwen/Qwen3.5-0.8B,8bit,16,66.26,87.26,-0.23,-0.76,54.88,6.4132,1319,0.0,0.1571,860.56,9.99,3h 39m 34s,13173.92
Qwen/Qwen3.5-0.8B,16bit,16,66.49,88.02,0.0,0.0,56.34,6.1964,1319,0.0,0.1621,3576.14,2.37,52m 4s,3124.44
meta-llama/Llama-3.2-1B-Instruct,4bit,8,45.26,69.6,-1.44,-0.2,47.06,4.7293,1319,0.0,0.0009,195.51,11.77,4h 18m 39s,15519.3
meta-llama/Llama-3.2-1B-Instruct,8bit,8,45.64,67.93,-1.06,-1.87,49.46,4.5815,1319,0.0001,0.0016,433.44,4.95,1h 48m 50s,6529.96
meta-llama/Llama-3.2-1B-Instruct,16bit,8,46.7,69.8,0.0,0.0,51.05,4.424,1000,0.0,0.0014,207.73,10.35,2h 52m 30s,10350.04
meta-llama/Llama-3.2-1B-Instruct,16bit,16,51.18,79.23,0.0,0.0,48.2,7.1766,1319,0.0,0.0016,1022.81,5.07,1h 51m 22s,6681.61
meta-llama/Llama-3.2-3B-Instruct,4bit,8,80.59,92.19,0.08,-0.3,76.89,2.5004,1319,0.0,0.003,373.39,7.55,2h 46m 3s,9963.05
meta-llama/Llama-3.2-3B-Instruct,8bit,8,80.74,92.72,0.23,0.23,77.63,2.4284,1319,0.0,0.0047,212.98,12.55,4h 35m 50s,16549.55
meta-llama/Llama-3.2-3B-Instruct,16bit,8,80.52,92.49,0.0,0.0,77.81,2.4162,1319,0.0,0.0039,190.13,24.76,9h 4m 18s,32657.58
