dataset,model,precision,n_samples,reliability.failure_rate,reliability.diversity,reliability.cutoff_rate,performance.tokens_per_sec,performance.avg_latency_sec,performance.total_time,performance.total_time_sec
cqa,Qwen/Qwen3.5-0.8B,4bit,8,0.0013,2.6478,0.0004,218.63,4.63,1h 34m 8s,5647.63
cqa,Qwen/Qwen3.5-0.8B,8bit,8,0.0002,2.4357,0.0023,275.6,7.66,2h 35m 51s,9350.89
cqa,Qwen/Qwen3.5-0.8B,16bit,8,0.0001,2.2875,0.0008,227.53,4.87,1h 39m 5s,5945.27
cqa,Qwen/Qwen3.5-0.8B,4bit,16,0.0008,3.1925,0.0004,1884.99,1.39,28m 22s,1702.48
cqa,Qwen/Qwen3.5-0.8B,8bit,16,0.0002,2.959,0.0028,219.36,14.72,4h 59m 33s,17973.43
cqa,Qwen/Qwen3.5-0.8B,16bit,16,0.0002,2.7338,0.0007,236.24,7.84,2h 39m 36s,9576.43
cqa,meta-llama/Llama-3.2-1B-Instruct,4bit,8,0.0061,2.1564,0.0,185.09,4.53,1h 32m 13s,5532.75
cqa,meta-llama/Llama-3.2-1B-Instruct,8bit,8,0.0064,2.1581,0.0,450.04,1.57,31m 54s,1913.96
cqa,meta-llama/Llama-3.2-3B-Instruct,8bit,8,0.0012,1.683,0.0001,233.91,4.02,1h 21m 51s,4910.69
gsm8k,Qwen/Qwen3.5-0.8B,4bit,8,0.0,4.5019,0.1715,262.23,15.63,5h 43m 31s,20611.37
gsm8k,Qwen/Qwen3.5-0.8B,8bit,8,0.0,4.0895,0.1499,273.51,15.02,5h 30m 8s,19807.71
gsm8k,Qwen/Qwen3.5-0.8B,16bit,8,0.0,3.9424,0.1606,252.35,16.24,5h 56m 55s,21414.79
gsm8k,Qwen/Qwen3.5-0.8B,4bit,16,0.0,7.257,0.1712,980.37,12.39,4h 32m 25s,16345.42
gsm8k,Qwen/Qwen3.5-0.8B,16bit,16,0.0,6.1964,0.1621,3576.14,2.37,52m 4s,3124.44
gsm8k,meta-llama/Llama-3.2-1B-Instruct,4bit,8,0.0,4.7293,0.0009,195.51,11.77,4h 18m 39s,15519.3
gsm8k,meta-llama/Llama-3.2-1B-Instruct,8bit,8,0.0001,4.5815,0.0016,433.44,4.95,1h 48m 50s,6529.96
gsm8k,meta-llama/Llama-3.2-3B-Instruct,8bit,8,0.0,2.4284,0.0047,212.98,12.55,4h 35m 50s,16549.55
gsm8k,meta-llama/Llama-3.2-3B-Instruct,16bit,8,0.0,2.3329,0.0034,74.14,35.38,7h 56m 28s,28587.91
